,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
510,Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,2017,Role-Playing,Tecmo Koei,0.03,0.0,0.03,0.01,0.06,PS4
511,MX vs. ATV Supercross Encore,2015,Sports,Nordic Games,0.0,0.05,0.0,0.01,0.06,PS4
512,MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,THQ Nordic,0.05,0.0,0.0,0.01,0.06,PS4
513,Sword Art Online: Game Director's Edition,2015,Role-Playing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,PS4
514,Deformers,2017,Action,Ready at Dawn,0.05,0.0,0.0,0.01,0.06,PS4
515,Nobunaga no Yabou: Souzou,2014,Strategy,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,PS4
516,Dragon Quest X: All in One Package,2017,Role-Playing,Square Enix,0.0,0.0,0.06,0.0,0.06,PS4
517,Yomawari: Midnight Shadows,2017,Action,NIS America,0.02,0.0,0.04,0.0,0.06,PS4
518,Game of Thrones (Telltale),2015,Adventure,Telltale Games,0.05,0.0,0.0,0.01,0.06,PS4
519,Atari Flashback Classics: Volume 2,2016,Misc,Atari,0.05,0.0,0.0,0.01,0.06,PS4
520,Outcast: Second Contact,2017,Adventure,Maximum Games,0.05,0.0,0.0,0.01,0.06,PS4
521,Cartoon Network Battle Crashers,2016,Action,Maximum Games,0.05,0.0,0.0,0.01,0.06,PS4
522,Handball 16,2015,Sports,Bigben Interactive,0.0,0.05,0.0,0.01,0.06,PS4
523,Extinction,2018,Action,Maximum Games,0.05,0.0,0.0,0.01,0.06,PS4
524,Rugby World Cup 2015,2015,Sports,Big Ben Interactive,0.0,0.05,0.0,0.01,0.06,PS4
525,Exist Archive: The Other Side of the Sky,2015,Role-Playing,Aksys Games,0.02,0.0,0.03,0.0,0.06,PS4
526,King's Quest: The Complete Collection,2016,Adventure,Activision,0.05,0.0,0.0,0.01,0.06,PS4
527,Sine Mora,2017,Action,THQ Nordic,0.03,0.01,0.0,0.01,0.06,PS4
528,Aven Colony,2017,Strategy,Sold Out,0.04,0.01,0.0,0.01,0.06,PS4
529,Battle Chasers: Nightwar,2017,Role-Playing,THQ Nordic,0.03,0.02,0.0,0.01,0.06,PS4
530,WRC 5: FIA World Rally Championship,2015,Racing,Bigben Interactive,0.0,0.05,0.0,0.01,0.06,PS4
531,Black Mirror,2017,Adventure,THQ Nordic,0.04,0.0,0.0,0.01,0.05,PS4
532,Touhou Genso Wanderer,2017,Action,NIS America,0.04,0.0,0.0,0.01,0.05,PS4
533,Arcania: Gothic 4,2015,Role-Playing,Nordic Games,0.04,0.0,0.0,0.01,0.05,PS4
534,Starblood Arena VR,2017,Shooter,Sony Interactive Entertainment,0.04,0.0,0.0,0.01,0.05,PS4
535,Hellblade,2018,Action-Adventure,505 Games,0.03,0.01,0.0,0.01,0.05,PS4
536,Bubsy: The Woolies Strike Back,2017,Platform,Accolade,0.04,0.0,0.0,0.01,0.05,PS4
537,Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting,Marvelous Interactive,0.01,0.01,0.03,0.0,0.05,PS4
538,Nobunaga's Ambition: Creation,2014,Strategy,Tecmo Koei,0.04,0.0,0.0,0.01,0.05,PS4
539,Child of Light,2014,Role-Playing,Ubisoft,0.0,0.01,0.04,0.0,0.05,PS4
540,Phantasy Star Online 2 Episode 4: Deluxe Package,2017,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05,PS4
541,Saints Row: Gat out of Hell,2015,Action,Deep Silver,0.0,0.04,0.0,0.01,0.05,PS4
542,Werewolves Within,2016,Misc,Ubisoft,0.04,0.0,0.0,0.01,0.05,PS4
543,Demon Gaze 2,2017,Role-Playing,NIS America,0.04,0.0,0.0,0.01,0.05,PS4
544,Real Farm,2017,Simulation,Soedesco,0.04,0.0,0.0,0.01,0.05,PS4
545,Worms: WMD,2016,Strategy,Team17 Digital Ltd,0.02,0.02,0.0,0.01,0.05,PS4
546,Syberia III,2017,Adventure,Microids,0.04,0.0,0.0,0.01,0.05,PS4
547,Sengoku Basara: Sanada Yukimura-Den,2016,Action,Capcom,0.0,0.0,0.05,0.0,0.05,PS4
548,Sengoku Basara 4: Sumeragi,2015,Action,Capcom,0.0,0.0,0.05,0.0,0.05,PS4
549,Sbastien Loeb Rally Evo,2016,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.05,PS4
550,Don't Starve,2018,Adventure,505 Games,0.04,0.0,0.0,0.01,0.05,PS4
551,Monster Jam: Crush It,2016,Racing,GameMill,0.04,0.0,0.0,0.01,0.05,PS4
552,Prison Architect,2016,Simulation,Introversion Software,0.02,0.02,0.0,0.01,0.05,PS4
553,Assault Suit Leynos,2016,Shooter,Rising Star Games,0.04,0.0,0.0,0.01,0.05,PS4
554,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016,Adventure,NIS America,0.04,0.0,0.0,0.01,0.05,PS4
555,Overcooked,2016,Action,Sold Out,0.04,0.0,0.0,0.01,0.05,PS4
556,Ben 10 (2017),2017,Action,Outright Games,0.04,0.0,0.0,0.01,0.05,PS4
557,Dead Alliance,2017,Shooter,Maximum Games,0.04,0.0,0.0,0.01,0.04,PS4
558,Deer Hunter Reloaded,2017,Shooter,Maximum Games,0.04,0.0,0.0,0.01,0.04,PS4
559,That's You,2017,Party,Sony Interactive Entertainment,0.04,0.0,0.0,0.01,0.04,PS4
560,Raid: World War II,2017,Shooter,505 Games,0.04,0.0,0.0,0.01,0.04,PS4
561,Hyperdimension Neptunia Victory II,2015,Role-Playing,Idea Factory International,0.0,0.0,0.04,0.0,0.04,PS4
562,Zero Escape The Nonary Games,2017,Adventure,Aksys Games,0.03,0.0,0.01,0.01,0.04,PS4
563,Rugby Challenge 3,2016,Sports,Alternative Software,0.0,0.04,0.0,0.01,0.04,PS4
564,Vikings: Wolves of Midgard,2017,Action,Kalypso Media,0.03,0.01,0.0,0.01,0.04,PS4
565,INSIDE / LIMBO Double Pack,2017,Platform,505 Games,0.04,0.0,0.0,0.01,0.04,PS4
566,The Talos Principle,2015,Puzzle,Nighthawk Interactive,0.0,0.04,0.0,0.01,0.04,PS4
567,Megadimension Neptunia VIIR,2017,Role-Playing,Compile Heart,0.01,0.0,0.03,0.0,0.04,PS4
568,R.B.I. Baseball 2016,2016,Sports,MLB.com,0.04,0.0,0.0,0.01,0.04,PS4
569,Pure Farming 2018,2018,Simulation,Techland,0.02,0.01,0.0,0.01,0.04,PS4
570,Air Conflicts: Secret Wars,2016,Simulation,Nighthawk Interactive,0.03,0.0,0.0,0.01,0.04,PS4
571,Anima - Gate of Memories,2016,Action,Avanquest,0.01,0.02,0.0,0.01,0.04,PS4
572,Axiom Verge,2017,Action,Badland Studio,0.03,0.0,0.0,0.01,0.04,PS4
573,Unbox: Newbie's Adventure,2017,Action,Merge Games,0.03,0.0,0.0,0.01,0.04,PS4
574,Here They Lie,2016,Adventure,Sony Interactive Entertainment,0.0,0.03,0.0,0.01,0.04,PS4
575,Under Night In-Birth Exe:Latest,2017,Fighting,Arc System Works,0.01,0.0,0.03,0.0,0.04,PS4
576,Aragami,2016,Action,Maximum Games,0.03,0.0,0.0,0.01,0.04,PS4
577,Yonder: The Cloud Catcher Chronicles,2017,Action,CokeM Interactive,0.03,0.0,0.0,0.01,0.04,PS4
578,Assassin's Creed Chronicles: China,2015,Action-Adventure,Ubisoft,0.0,0.03,0.0,0.01,0.04,PS4
579,JoJo's Bizarre Adventure: Eyes of Heaven,2015,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,PS4
580,Dungeons 3,2017,Strategy,Kalypso Media,0.03,0.0,0.0,0.01,0.04,PS4
581,Tour de France 2014,2014,Sports,Focus Home Interactive,0.0,0.03,0.0,0.01,0.04,PS4
582,Danganronpa Another Episode: Ultra Despair Girls,2017,Shooter,NIS America,0.03,0.0,0.01,0.01,0.04,PS4
583,Aegis of Earth: Protonovus Assault,2016,Action,PQube,0.03,0.01,0.0,0.01,0.04,PS4
584,Just Sing,2016,Music,Ubisoft,0.03,0.0,0.0,0.01,0.04,PS4
585,Wonder Boy: The Dragon's Trap (Remake),2018,Platform,Nicalis,0.03,0.0,0.0,0.01,0.04,PS4
586,Lumo,2016,Puzzle,Rising Star Games,0.03,0.0,0.0,0.01,0.04,PS4
587,ABZU,2017,Adventure,505 Games,0.03,0.0,0.0,0.01,0.04,PS4
588,Shadow Tactics: Blades of the Shogun,2017,Strategy,Kalypso Media,0.02,0.01,0.0,0.01,0.04,PS4
589,Darkest Dungeon,2018,Role-Playing,Merge Games,0.02,0.0,0.01,0.01,0.04,PS4
590,R.B.I. Baseball 2017,2017,Sports,MLB.com,0.03,0.0,0.0,0.01,0.04,PS4
591,Punch Line,2015,Adventure,5pb,0.03,0.0,0.0,0.01,0.04,PS4
592,VR Karts,2017,Racing,Perp Games,0.03,0.0,0.0,0.01,0.04,PS4
593,Resident Evil: Umbrella Corps,2016,Shooter,Capcom,0.0,0.0,0.04,0.0,0.04,PS4
594,Marvel Pinball: Epic Collection Volume 1,2016,Puzzle,Nighthawk Interactive,0.03,0.0,0.0,0.01,0.04,PS4
595,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,2015,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,PS4
596,Infamous: First Light,2014,Action,Sony Computer Entertainment,0.0,0.03,0.0,0.0,0.03,PS4
597,Raiden V,2017,Action,UFO Interactive,0.02,0.0,0.0,0.01,0.03,PS4
598,The Peanuts Movie: Snoopy's Grand Adventure,2015,Platform,Activision,0.0,0.03,0.0,0.0,0.03,PS4
599,The Dwarves,2016,Role-Playing,THQ Nordic,0.03,0.0,0.0,0.01,0.03,PS4
600,Dynasty Warriors: Eiketsuden,2016,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,PS4
601,Winning Post 8 2016,2016,Simulation,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,PS4
602,Dragon's Dogma Online: Season 2,2016,Action,Capcom,0.0,0.0,0.03,0.0,0.03,PS4
603,Coven and Labyrinth of Refrain,2017,Action,Nippon Ichi Software,0.01,0.0,0.01,0.0,0.03,PS4
604,Super Dungeon Bros,2016,Action,Wired Productions,0.02,0.0,0.0,0.01,0.03,PS4
605,Blade Arcus from Shining EX,2015,Fighting,Sega,0.0,0.0,0.03,0.0,0.03,PS4
606,Troll and I,2017,Action,Maximum Games,0.02,0.0,0.0,0.01,0.03,PS4
607,The Pillars of the Earth,2017,Adventure,Kalypso Media,0.02,0.0,0.0,0.01,0.03,PS4
608,The Lost Child,2017,Action,Kadokawa Games,0.01,0.0,0.01,0.0,0.03,PS4
609,Romance of the Three Kingdoms 13 with Power-Up Kit,2017,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,PS4
610,Koihime Enbu,2016,Fighting,Yeti,0.0,0.0,0.03,0.0,0.03,PS4
611,Road Rage,2017,Racing,Maximum Games,0.02,0.0,0.0,0.01,0.03,PS4
612,Winning Post 8 2017,2017,Misc,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,PS4
613,Dino Dini's Kick Off Revival,2016,Sports,Avanquest,0.0,0.02,0.0,0.0,0.03,PS4
614,God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5,2016,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,PS4
615,Tumblestone,2016,Puzzle,Nighthawk Interactive,0.02,0.0,0.0,0.01,0.03,PS4
616,Blackguards 2,2017,Strategy,Kalypso Media,0.02,0.0,0.0,0.01,0.03,PS4
617,Baja: Edge of Control HD,2017,Racing,THQ Nordic,0.02,0.0,0.0,0.01,0.03,PS4
618,Crows: Burning Edge,2016,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,PS4
619,Geometry Wars 3: Dimensions Evolved,2016,Action,Activision,0.02,0.0,0.0,0.01,0.03,PS4
620,We Sing (2016),2016,Music,THQ Nordic,0.02,0.0,0.0,0.01,0.03,PS4
621,Shin Hayarigami 2,2016,Adventure,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,PS4
622,The Town of Light,2017,Adventure,Wired Productions,0.02,0.0,0.0,0.01,0.03,PS4
623,OlliOlli: Epic Combo Edition,2016,Platform,Badland Studio,0.02,0.0,0.0,0.01,0.03,PS4
624,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017,Fighting,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,PS4
625,Ao no Kanata no Four Rhythm,2017,Visual Novel,Sprite,0.0,0.0,0.03,0.0,0.03,PS4
626,Zero Escape: Zero Time Dilemma,2017,Adventure,Aksys Games,0.02,0.0,0.0,0.0,0.03,PS4
627,AereA,2017,Role-Playing,Soedesco,0.02,0.0,0.0,0.0,0.03,PS4
628,Root Letter,2016,Visual Novel,PQube,0.0,0.0,0.03,0.0,0.03,PS4
629,ClaDun Sengoku,2017,Action,NIS America,0.02,0.0,0.0,0.0,0.03,PS4
630,The Girl and the Robot,2017,Misc,Soedesco,0.02,0.0,0.0,0.0,0.03,PS4
631,Omega Quintet,2014,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.03,PS4
632,Touhou Kobuto V: Burst Battle,2017,Shooter,NIS America,0.02,0.0,0.0,0.0,0.03,PS4
633,God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4,2016,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,PS4
634,Rugby League Live 3,2015,Sports,Tru Blu Entertainment,0.0,0.02,0.0,0.0,0.02,PS4
635,Omega Labyrinth Z,2017,Role-Playing,D3Publisher,0.0,0.0,0.02,0.0,0.02,PS4
636,Lost Sphear,2017,Role-Playing,Square Enix,0.0,0.0,0.02,0.0,0.02,PS4
637,Superbeat: Xonic,2017,Music,PM Studios,0.02,0.0,0.0,0.0,0.02,PS4
638,Republique,2016,Action-Adventure,Gunho Online Entertainment,0.0,0.01,0.01,0.0,0.02,PS4
639,Super Stardust Ultra VR,2016,Shooter,Sony Interactive Entertainment,0.0,0.02,0.0,0.0,0.02,PS4
640,Redout,2017,Racing,505 Games,0.02,0.0,0.0,0.0,0.02,PS4
641,Resident Evil: Value Pack,2016,Action-Adventure,Capcom,0.0,0.0,0.02,0.0,0.02,PS4
642,God Eater Off Shot: Tachibana Sakuya-hen Twin Pack & Animation Vol.7,2016,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,PS4
643,PaRappa the Rapper Remastered,2017,Music,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02,PS4
644,Earth's Dawn,2016,Action,Rising Star Games,0.02,0.0,0.0,0.0,0.02,PS4
645,Big Buck Hunter Arcade,2016,Shooter,GameMill Entertainment,0.02,0.0,0.0,0.0,0.02,PS4
646,Dungeons 2,2016,Role-Playing,Kalypso Media,0.02,0.0,0.0,0.0,0.02,PS4
647,Tricky Towers,2017,Puzzle,Soedesco,0.02,0.0,0.0,0.0,0.02,PS4
648,No Heroes Allowed! VR,2017,Strategy,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02,PS4
649,ArmaGallant: Decks of Destiny,2017,Strategy,Maximum Games,0.02,0.0,0.0,0.0,0.02,PS4
650,Carmageddon: Max Damage,2016,Action,Stainless Games,0.02,0.0,0.0,0.0,0.02,PS4
651,Armello,2018,Strategy,League of Geeks,0.02,0.0,0.0,0.0,0.02,PS4
652,Shaq-Fu: A Legend Reborn,2018,Action,Wired Productions,0.02,0.0,0.0,0.0,0.02,PS4
653,Patapon Remastered,2017,Music,Sony Interactive Entertainment,0.0,0.0,0.02,0.0,0.02,PS4
654,Monster Hunter Frontier Z: Beginner's Package,2016,Action,Capcom,0.0,0.0,0.02,0.0,0.02,PS4
655,Professional Farmer 2016,2015,Action,Namco Bandai Games,0.0,0.02,0.0,0.0,0.02,PS4
656,Natsuiro High School: Seishun Hakusho,2015,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02,PS4
657,The Inner World: The Last Wind Monk,2017,Puzzle,Kalypso Media,0.02,0.0,0.0,0.0,0.02,PS4
658,SteamWorld Collection,2016,Misc,Rising Star Games,0.02,0.0,0.0,0.0,0.02,PS4
659,Konoyo no Hate de Koi o Utau Shoujo: Yu-No,2017,Visual Novel,5pb,0.0,0.0,0.02,0.0,0.02,PS4
660,God Eater Off Shot: Fujiki Kota-hen Twin Pack & Animation Vol.6,2016,Misc,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,PS4
661,Genkai Tokki: Castle Panzers,2017,Role-Playing,Compile Heart,0.0,0.0,0.02,0.0,0.02,PS4
662,Skullgirls: 2nd Encore,2016,Fighting,Arc System Works,0.0,0.0,0.02,0.0,0.02,PS4
663,This Is The Police,2017,Simulation,THQ Nordic,0.01,0.0,0.0,0.0,0.02,PS4
664,Rabbids Invasion: The Interactive TV Show,2014,Misc,Ubisoft,0.0,0.01,0.0,0.0,0.02,PS4
665,FlatOut 4: Total Insanity,2017,Racing,Bigben Interactive,0.01,0.0,0.0,0.0,0.02,PS4
666,Chaos;Child,2015,Visual Novel,PQube,0.0,0.0,0.02,0.0,0.02,PS4
667,Touhou Shinhiroku: Urban Legend in Limbo,2016,Fighting,Mediascape,0.0,0.0,0.02,0.0,0.02,PS4
668,Rogue Trooper: Redux,2017,Shooter,Rebellion,0.01,0.0,0.0,0.0,0.02,PS4
669,Space Hulk: Deathwing,2015,Shooter,Focus Home Interactive,0.0,0.01,0.0,0.0,0.02,PS4
670,Pharaonic,2017,Action,Soedesco,0.01,0.0,0.0,0.0,0.02,PS4
671,White Day,2017,Action,PQube,0.0,0.01,0.01,0.0,0.02,PS4
672,Torment: Tides of Numenera,2017,Role-Playing,Techland,0.01,0.0,0.0,0.0,0.01,PS4
673,Let It Die,2017,Action,GungHo,0.0,0.01,0.01,0.0,0.01,PS4
674,Summer Lesson: Miyamoto Hikari Collection,2017,Adventure,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,PS4
675,Raven's Cry,2015,Role-Playing,TopWare Interactive,0.0,0.01,0.0,0.0,0.01,PS4
676,New Game! The Challenge Stage!,2017,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,PS4
677,Hakoniwa Company Works,2017,Strategy,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01,PS4
678,DJ Max Respect,2017,Misc,Arc System Works,0.0,0.0,0.01,0.0,0.01,PS4
679,Battle Worlds: Kronos,2016,Strategy,Nordic Games,0.01,0.0,0.0,0.0,0.01,PS4
680,Dragon's Dogma Online: Season 3,2017,Role-Playing,Capcom,0.0,0.0,0.01,0.0,0.01,PS4
681,Occultic;Nine,2017,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,PS4
682,Kono Subarashii Sekai ni Shukufuku o! Kono Yokubukai Game ni Shinpan o!,2017,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,PS4
683,Battle Garegga Rev.2016,2016,Strategy,M2,0.0,0.0,0.01,0.0,0.01,PS4
684,Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. & Zoku: Oatome Set,2017,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,PS4
685,Farming 2017 - The Simulation,2016,Simulation,UIG Entertainment,0.0,0.01,0.0,0.0,0.01,PS4
686,Re:Zero - Kara Hajimeru Isekai Seikatsu - Death or Kiss,2017,Adventure,5pb,0.0,0.0,0.01,0.0,0.01,PS4
687,Zombie Vikings,2016,Action,Rising Star Games,0.0,0.01,0.0,0.0,0.01,PS4
688,ATV Renegades,2017,Racing,Nighthawk Interactive,0.01,0.0,0.0,0.0,0.01,PS4
689,Ziggurat,2016,Shooter,Soedesco,0.0,0.01,0.0,0.0,0.01,PS4
690,Chaos;Child: Love Chu Chu!!,2017,Visual Novel,5pb,0.0,0.0,0.01,0.0,0.01,PS4
691,Moto Racer 4,2016,Racing,PQube,0.01,0.0,0.0,0.0,0.01,PS4
692,LocoRoco Remastered,2017,Platform,Sony Interactive Entertainment,0.0,0.0,0.01,0.0,0.01,PS4
693,Lock's Quest,2017,Strategy,THQ Nordic,0.01,0.0,0.0,0.0,0.01,PS4
694,Gal Gun: Double Peace,2015,Action,PQube,0.0,0.0,0.01,0.0,0.01,PS4
695,Woodcutter Simulator 2016,2015,Action,Namco Bandai Games,0.0,0.01,0.0,0.0,0.01,PS4
696,Akiba's Trip 2+A,2017,Adventure,Acquire,0.0,0.0,0.01,0.0,0.01,PS4
697,Date-A-Live Twin Edition: Rio Reincarnation,2017,Adventure,Compile Heart,0.0,0.0,0.01,0.0,0.01,PS4
698,Valhalla Hills,2017,Strategy,Kalypso Media,0.01,0.0,0.0,0.0,0.01,PS4
699,Deception IV: Blood Ties,2015,Action,Tecmo Koei,0.0,0.0,0.01,0.0,0.01,PS4
700,One Piece: Unlimited World Red,2017,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,PS4
701,Hyper Light Drifter,2017,Role-Playing,Active Gaming Media,0.0,0.0,0.01,0.0,0.01,PS4
702,Teslagrad,2014,Platform,Rain Games,0.0,0.01,0.0,0.0,0.01,PS4
703,Darius Burst: Chronicle Saviours,2017,Action,Kadokawa Games,0.0,0.0,0.01,0.0,0.01,PS4
704,The Escapists: The Walking Dead,2016,Action,Team17 Software,0.0,0.0,0.0,0.0,0.01,PS4
705,Super Meat Boy,2016,Platform,Team Meat,0.0,0.0,0.0,0.0,0.01,PS4
706,Blood Bowl 2,2015,Sports,Focus Home Interactive,0.0,0.0,0.0,0.0,0.0,PS4
707,The Witness,2016,Misc,"Thekla, Inc.",0.0,0.0,0.0,0.0,0.0,PS4
708,Quantic Dream Collection,2015,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
709,Iwaihime: Matsuri,2017,Adventure,Nippon Ichi Software,0.0,0.0,0.0,0.0,0.0,PS4
710,RepKiss,2017,Adventure,Entergram,0.0,0.0,0.0,0.0,0.0,PS4
711,War Thunder,2017,Action,DMM Games,0.0,0.0,0.0,0.0,0.0,PS4
712,Tsuihou Senkyo,2017,Adventure,Nippon Ichi Software,0.0,0.0,0.0,0.0,0.0,PS4
713,Hustle Kings VR,2016,Sports,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
714,Toki Tori 2+,2016,Puzzle,Two Tribes,0.0,0.0,0.0,0.0,0.0,PS4
715,Deception IV: The Nightmare Princess,2015,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PS4
716,Kingdom Hearts HD I.5 + II.5 ReMIX,2017,Action,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
717,Fushigi no Chronicle: Furikaerimasen Katsu Madewa,2015,Action,Spike Chunsoft,0.0,0.0,0.0,0.0,0.0,PS4
718,Agatha Christie: The ABC Murders,2016,Adventure,Microids,0.0,0.0,0.0,0.0,0.0,PS4
719,Ancients of Ooga - The Forgotten Chapters,2016,Platform,Koch Media,0.0,0.0,0.0,0.0,0.0,PS4
720,Blacklight: Retribution,2013,Misc,Perfect World Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
721,Bladestorm: The Hundred Years' War,2015,Action,BioWare,0.0,0.0,0.0,0.0,0.0,PS4
722,Brothers in Arms: Furious 4,2019,Shooter,Ubisoft,0.0,0.0,0.0,0.0,0.0,PS4
723,DC Universe Online,2013,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
724,Industry Giant II,2017,Strategy,UIG Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
725,Kingdom Under Fire II,2014,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
726,Mount & Blade: Warband,2016,Role-Playing,Taleworlds,0.0,0.0,0.0,0.0,0.0,PS4
727,Psychonauts,2017,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
728,Resident Evil 5,2016,Action,Capcom,0.0,0.0,0.0,0.0,0.0,PS4
729,The Amazing Spider-Man 2,2014,Misc,Activision,0.0,0.0,0.0,0.0,0.0,PS4
730,Ether One,2015,Adventure,Soedesco,0.0,0.0,0.0,0.0,0.0,PS4
731,Uncharted 2: Among Thieves,2016,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
732,Uncharted 3: Drake's Deception,2016,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
733,Uncharted: Drake's Fortune,2016,Action,Sony Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
734,Awesomenauts,2014,Misc,DTP Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
735,Broken Age,2015,Adventure,Nordic Games,0.0,0.0,0.0,0.0,0.0,PS4
736,Slender: The Arrival,2015,Adventure,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
737,deep down (Working Title),2020,Misc,Capcom,0.0,0.0,0.0,0.0,0.0,PS4
738,Human Element,2015,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
739,Whore of the Orient,2020,Misc,Warner Bros. Interactive Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
740,Cyberpunk 2077,2018,Action-Adventure,CD Projekt Red Studio,0.0,0.0,0.0,0.0,0.0,PS4
741,Final Fantasy (PS4),2020,Misc,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
742,Contrast,2013,Misc,Compulsion Games,0.0,0.0,0.0,0.0,0.0,PS4
743,Carmageddon: Reincarnation,2015,Misc,Stainless Games,0.0,0.0,0.0,0.0,0.0,PS4
744,Rocketbirds 2: Evolution,2020,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
745,Primal Carnage: Genesis,2020,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
746,Kingdom Hearts III,2019,Role-Playing,Square Enix,0.0,0.0,0.0,0.0,0.0,PS4
747,Yaiba: Ninja Gaiden Z,2014,Misc,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PS4
748,Pinball Arcade,2013,Misc,FarSight Studios,0.0,0.0,0.0,0.0,0.0,PS4
749,Toukiden: The Age of Demons,2014,Action,Tecmo Koei,0.0,0.0,0.0,0.0,0.0,PS4
750,Reus,2016,Strategy,Soedesco,0.0,0.0,0.0,0.0,0.0,PS4
751,Strider (2014),2014,Platform,Capcom,0.0,0.0,0.0,0.0,0.0,PS4
752,EverQuest Next,2019,MMO,Sony Online Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
753,Velocity 2X,2014,Action,Futurlab 1,0.0,0.0,0.0,0.0,0.0,PS4
754,Helldivers,2015,Action,Sony Computer Entertainment,0.0,0.0,0.0,0.0,0.0,PS4
755,WonderFlick,2014,Misc,Level 5,0.0,0.0,0.0,0.0,0.0,PS4
756,Monochroma,2014,Misc,Nowhere Studios,0.0,0.0,0.0,0.0,0.0,PS4
757,Lily Bergamo,2014,Misc,GungHo,0.0,0.0,0.0,0.0,0.0,PS4
758,Get Even,2015,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
759,TowerFall,2014,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
760,SOMA (2015),2015,Misc,Frictional Games,0.0,0.0,0.0,0.0,0.0,PS4
761,Cult County,2015,Misc,Renegade Kid,0.0,0.0,0.0,0.0,0.0,PS4
762,R.B.I. Baseball 14,2014,Misc,MLB.com,0.0,0.0,0.0,0.0,0.0,PS4
763,Without Memory,2016,Misc,Unknown,0.0,0.0,0.0,0.0,0.0,PS4
764,Bombshell,2014,Misc,3D Realms,0.0,0.0,0.0,0.0,0.0,PS4
765,EA Sports PGA Tour,2015,Sports,EA Sports,0.0,0.0,0.0,0.0,0.0,PS4
766,Dead Island 2,2017,Action,Deep Silver,0.0,0.0,0.0,0.0,0.0,PS4
767,Afro Samurai 2,2015,Action,Versus Evil,0.0,0.0,0.0,0.0,0.0,PS4
