,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Platform
72,Need for Speed: Payback,2017,Racing,Electronic Arts,0.62,1.18,0.04,0.34,2.18,PS4
73,Destiny: The Taken King,2015,Shooter,Activision,0.97,0.8,0.05,0.36,2.18,PS4
74,Need for Speed Rivals,2013,Racing,Electronic Arts,0.75,1.04,0.03,0.35,2.17,PS4
75,PlayStation VR Worlds,2016,Misc,Sony Interactive Entertainment,0.36,1.4,0.09,0.32,2.16,PS4
76,Battlefield: Hardline,2015,Shooter,Electronic Arts,0.72,0.97,0.14,0.33,2.15,PS4
77,Rise of the Tomb Raider,2016,Adventure,Square Enix,0.61,1.08,0.05,0.32,2.07,PS4
78,LittleBigPlanet 3,2014,Platform,Sony Computer Entertainment,0.78,0.93,0.01,0.34,2.06,PS4
79,The Elder Scrolls Online,2015,MMO,Bethesda Softworks,0.74,0.98,0.0,0.33,2.05,PS4
80,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,0.82,0.84,0.06,0.33,2.04,PS4
81,Dragon Quest XI,2017,Role-Playing,Square Enix,0.29,0.22,1.43,0.1,2.04,PS4
82,Rocket League,2016,Sports,505 Games,0.37,1.34,0.0,0.31,2.02,PS4
83,Just Cause 3,2015,Action-Adventure,Square Enix,0.53,1.07,0.09,0.3,1.98,PS4
84,Dishonored 2,2016,Action,Bethesda Softworks,0.62,1.02,0.01,0.31,1.97,PS4
85,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,0.59,1.0,0.01,0.3,1.91,PS4
86,Until Dawn,2015,Adventure,Sony Computer Entertainment,0.62,0.92,0.06,0.3,1.9,PS4
87,Knack,2013,Platform,Sony Computer Entertainment,0.45,0.77,0.42,0.23,1.88,PS4
88,The Evil Within,2014,Action,Bethesda Softworks,0.56,0.9,0.11,0.28,1.86,PS4
89,The Crew,2014,Racing,Ubisoft,0.44,1.04,0.03,0.27,1.79,PS4
90,Kingdom Hearts 1.5 + 2.5 Remix,2017,Role-Playing,Square Enix,0.75,0.51,0.23,0.26,1.75,PS4
91,For Honor,2017,Action,Ubisoft,0.73,0.66,0.07,0.28,1.75,PS4
92,Titanfall 2,2016,Shooter,Electronic Arts,0.75,0.62,0.06,0.28,1.72,PS4
93,Injustice 2,2017,Fighting,Warner Bros. Interactive Entertainment,0.88,0.54,0.0,0.29,1.72,PS4
94,NieR Automata,2017,Role-Playing,Square Enix,0.56,0.51,0.42,0.22,1.71,PS4
95,Tekken 7,2017,Fighting,Namco Bandai Games,0.6,0.72,0.12,0.26,1.7,PS4
96,Persona 5,2016,Role-Playing,Deep Silver,0.62,0.34,0.48,0.2,1.64,PS4
97,The Order: 1886,2015,Shooter,Sony Computer Entertainment,0.44,0.86,0.07,0.25,1.62,PS4
98,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,0.48,0.84,0.03,0.25,1.61,PS4
99,Detroit: Become Human,2018,Adventure,Sony Interactive Entertainment,0.55,0.67,0.12,0.24,1.57,PS4
100,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,Namco Bandai Games,0.71,0.47,0.12,0.24,1.54,PS4
101,NBA 2K14,2013,Sports,2K Sports,0.91,0.35,0.01,0.27,1.54,PS4
102,Tomb Raider (2013),2014,Action-Adventure,Square Enix,0.47,0.74,0.06,0.23,1.51,PS4
103,Dragon Ball: Xenoverse 2,2016,Action,Namco Bandai Games,0.54,0.59,0.14,0.23,1.5,PS4
104,Rayman Legends,2014,Platform,Ubisoft,0.22,1.05,0.0,0.23,1.5,PS4
105,Mass Effect: Andromeda,2017,Role-Playing,Electronic Arts,0.58,0.67,0.0,0.25,1.49,PS4
106,Dragon Ball Fighter Z,2018,Fighting,Namco Bandai Games,0.61,0.51,0.12,0.23,1.46,PS4
107,South Park: The Fractured But Whole,2017,Role-Playing,Ubisoft,0.62,0.57,0.0,0.24,1.43,PS4
108,The Sims 4,2017,Simulation,Electronic Arts,0.44,0.72,0.01,0.22,1.39,PS4
109,Street Fighter V,2016,Fighting,Capcom,0.64,0.42,0.12,0.22,1.39,PS4
110,Wolfenstein II: The New Colossus,2017,Shooter,Bethesda Softworks,0.55,0.58,0.01,0.22,1.36,PS4
111,WWE 2K18,2017,Sports,2K Sports,0.45,0.67,0.0,0.22,1.33,PS4
112,Lego Star Wars: The Force Awakens,2016,Action-Adventure,Warner Bros. Interactive Entertainment,0.3,0.78,0.02,0.2,1.31,PS4
113,EA Sports UFC 2,2016,Sports,EA Sports,0.44,0.65,0.0,0.21,1.31,PS4
114,The Last Guardian,2016,Action-Adventure,Sony Interactive Entertainment,0.4,0.58,0.13,0.19,1.29,PS4
